Section,Title,Description
1,"Short title, commencement and application.",2. Definitions.
1,—Grave and sudden provocation will not mitigate the punishment for an offence under,"this section,—"
1,"—A person who causes bodily injury to another who is labouring under a disorder,","disease or bodily infirmity, and thereby accelerates the death of that other, shall be deemed to have"
1,"—Culpable homicide is not murder if the offender, whilst deprived of the power of","self-control by grave and sudden provocation, causes the death of the person who gave the provocation or"
1,"—For the purposes of this section, “acid” includes any substance which has acidic or","corrosive character or burning nature, that is capable of causing bodily injury leading to scars or"
1,—The expression “exploitation” shall include any act of physical exploitation or,"any form of sexual exploitation, slavery or practices similar to slavery, servitude, beggary or forced"
1,"—Any prostitute or any person keeping or managing a brothel, who buys, hires or","otherwise obtains possession of a female under the age of eighteen years shall, until the contrary is"
1,"—A thing so long as it is attached to the earth, not being movable property, is not the",subject of theft; but it becomes capable of being the subject of theft as soon as it is severed from the
1,—A dishonest misappropriation for a time only is a misappropriation within the,meaning of this section.
1,—A medical procedure or intervention shall not constitute rape.,"Exception 2.—Sexual intercourse or sexual acts by a man with his own wife, the wife not being under"
1,"— In this section, “sexual intercourse” shall mean any of the acts mentioned in",clauses (a) to (d) of section 63.
1,—It is not essential to the offence of mischief that the offender should intend to cause,"loss or damage to the owner of the property injured or destroyed. It is sufficient if he intends to cause, or"
1,"—For the purposes of this section, “private act” includes an act of watching carried out","in a place which, in the circumstances, would reasonably be expected to provide privacy and where the"
1,"—A person, being an employer of an establishment whether exempted under","section 17 of the Employees’ Provident Funds and Miscellaneous Provisions Act, 1952 (19 of 1952) or"
1,—A man’s signature of his own name may amount to forgery.,Illustrations.
1,"—When a female under the age of eighteen years is sold, let for hire, or otherwise","disposed of to a prostitute or to any person who keeps or manages a brothel, the person so disposing of"
1,—A trial before a Court-martial is a judicial proceeding.,"Explanation 2.—An investigation directed by law preliminary to a proceeding before a Court, is a"
1,"—It is immaterial by what means or upon what substance the letters, figures or","marks are formed, or whether the evidence is intended for, or may be used in a Court or not."
1,"1st July, 2024, except the provision of sub-section (2) of section 106, vide notification No. S.O. 850(E), dated, 23rd day of","February, 2024, see Gazette of India, Extraordinary, Part II, sec. 3(ii)."
1,"Short title, commencement and application.––(1) This Act may be called the Bharatiya Nyaya","Sanhita, 2023."
1,"—A person who, by wilful misrepresentation, or by wilful concealment of a material","fact which he is bound to disclose, voluntarily causes or procures, or attempts to cause or procure, a thing"
1,"—It may amount to defamation to impute anything to a deceased person, if the","imputation would harm the reputation of that person if living, and is intended to be hurtful to the feelings"
1,"—It is not defamation to impute anything which is true concerning any person, if it be",for the public good that the imputation should be made or published. Whether or not it is for the public
1,—It is not essential to counterfeiting that the imitation should be exact.,"Explanation 2.—When a person causes one thing to resemble another thing, and the resemblance"
1,"—A person who, of his own accord, or by reason of a threat of being beaten, joins a","gang of dacoits, knowing their character, is not entitled to the benefit of this exception, on the ground of"
1,—The abetment of the illegal omission of an act may amount to an offence although,the abettor may not himself be bound to do that act.
1,"—A person is not deprived of the right of private defence against an act done, or","attempted to be done, by a public servant, as such, unless he knows or has reason to believe, that the"
1,"—A statement is within the meaning of this section, whether it is made verbally or",otherwise.
2,—Mischief may be committed by an act affecting property belonging to the person,"who commits the act, or to that person and others jointly."
2,"—The making of a false document in the name of a fictitious person, intending it to be","believed that the document was made by a real person, or in the name of a deceased person, intending it"
2,—For the purposes of this section “illicit intercourse” means sexual intercourse,"between persons not united by marriage or by any union or tie which, though not amounting to a"
2,"—A person, being an employer, who deducts the employees’ contribution from the",wages payable to the employee for credit to the Employees’ State Insurance Fund held and administered
2,"Definitions. –– In this Sanhita, unless the context otherwise requires,––",(1) “act” denotes as well a series of acts as a single act;
2,"—A person seized by a gang of dacoits, and forced, by threat of instant death, to do a","thing which is an offence by law; for example, a smith compelled to take his tools and to force the door"
2,"—Whoever, either prior to or at the time of the commission of an act, does anything in","order to facilitate the commission of that act, and thereby facilitates the commission thereof, is said to aid"
2,—To constitute the offence of abetment it is not necessary that the act abetted should,"be committed, or that the effect requisite to constitute the offence should be caused."
2,"—Whatever is expressed by means of letters, figures or marks as explained by","mercantile or other usage, shall be deemed to be expressed by such letters, figures or marks within"
2,—A moving effected by the same act which affects the severance may be a theft.,Explanation 3.—A person is said to cause a thing to move by removing an obstacle which prevented
2,"—Where the victim consents to the capture of the images or any act, but not to their","dissemination to third persons and where such image or act is disseminated, such dissemination shall be"
2,—The consent of the victim is immaterial in determination of the offence of,trafficking.
2,— “Illicit intercourse” has the same meaning as in section 98.,CHAPTER VI
2,"—Whether the provocation was grave and sudden enough to mitigate the offence, is a",question of fact.
2,"—Where death is caused by bodily injury, the person who causes such bodily injury","shall be deemed to have caused the death, although by resorting to proper remedies and skilful treatment"
2,—Culpable homicide is not murder if the offender in the exercise in good faith of the,"right of private defence of person or property, exceeds the power given to him by law and causes the"
2,"—A person is not deprived of the right of private defence against an act done, or","attempted to be done, by the direction of a public servant, unless he knows, or has reason to believe, that"
2,—A false statement as to the belief of the person attesting is within the meaning of this,"section, and a person may be guilty of giving false evidence by stating that he believes a thing which he"
2,—It may amount to defamation to make an imputation concerning a company or an,association or collection of persons as such.
2,—It is not defamation to express in good faith any opinion whatever respecting the,"conduct of a public servant in the discharge of his public functions, or respecting his character, so far as"
2,"—For the purposes of this section, permanent or partial damage or deformity or",permanent vegetative state shall not be required to be irreversible.
2,"—A person who finds property not in the possession of any other person, and takes","such property for the purpose of protecting it for, or of restoring it to, the owner, does not take or"
2,"— For the purposes of this section, Explanation 1 to section 63 shall also be",applicable.
2,"—Consent means an unequivocal voluntary agreement when the woman by words,","gestures or any form of verbal or non-verbal communication, communicates willingness to"
3,"—For the purposes of this section, the expression “affixing electronic signature” shall",have the meaning assigned to it in clause (d) of sub-section (1) of section 2 of the Information
3,General explanations.,CHAPTER II
3,"—An investigation directed by a Court according to law, and conducted under the","authority of a Court, is a stage of a judicial proceeding, though that investigation may not take place"
3,"— “Superintendent”, in relation to a jail, remand home or other place of custody or a","women’s or children’s institution, includes a person holding any other office in such jail, remand home,"
3,"—An imputation in the form of an alternative or expressed ironically, may amount to",defamation.
3,—It is not defamation to express in good faith any opinion whatever respecting the,"conduct of any person touching any public question, and respecting his character, so far as his character"
3,"General explanations.—(1) Throughout this Sanhita every definition of an offence, every penal","provision, and every Illustration of every such definition or penal provision, shall be understood subject"
3,—It is not necessary that the person abetted should be capable by law of committing,"an offence, or that he should have the same guilty intention or knowledge as that of the abettor, or any"
3,—The causing of the death of a child in the mother’s womb is not homicide. But it,"may amount to culpable homicide to cause the death of a living child, if any part of that child has been"
3,"—Culpable homicide is not murder if the offender, being a public servant or aiding a","public servant acting for the advancement of public justice, exceeds the powers given to him by law, and"
4,Punishments.,5. Commutation of sentence.
4,—Culpable homicide is not murder if it is committed without premeditation in a sudden,fight in the heat of passion upon a sudden quarrel and without the offender’s having taken undue
4,—The expressions “hospital” and “women’s or children’s institution” shall,respectively have the same meanings as in clauses (b) and (d) of the Explanation to sub-section (2) of
4,"—The abetment of an offence being an offence, the abetment of such an abetment is",also an offence.
4,"—A person, who by any means causes an animal to move, is said to move that animal,","and to move everything which, in consequence of the motion so caused, is moved by that animal."
4,"—It is not defamation to publish substantially true report of the proceedings of a Court,",or of the result of any such proceedings.
4,"—No imputation is said to harm a person’s reputation, unless that imputation directly","or indirectly, in the estimation of others, lowers the moral or intellectual character of that person, or"
4,Punishments. —The punishments to which offenders are liable under the provisions of this,Sanhita are—
5,"Commutation of sentence.—The appropriate Government may, without the consent of the","offender, commute any punishment under this Sanhita to any other punishment in accordance"
5,—It is not defamation to express in good faith any opinion whatever respecting the,"merits of any case, civil or criminal, which has been decided by a Court, or respecting the conduct of any"
5,—It is not necessary to the commission of the offence of abetment by conspiracy that,the abettor should concert the offence with the person who commits it. It is sufficient if he engages in the
5,"—The consent mentioned in this section may be express or implied, and may be given","either by the person in possession, or by any person having for that purpose authority either express or"
5,"—Culpable homicide is not murder when the person whose death is caused, being above","the age of eighteen years, suffers death or takes the risk of death with his own consent."
6,"Fractions of terms of punishment.—In calculating fractions of terms of punishment,",imprisonment for life shall be reckoned as equivalent to imprisonment for twenty years unless otherwise
6,Fractions of terms of punishment.,7. Sentence may be (in certain cases of imprisonment) wholly or partly rigorous or simple.
6,—It is not defamation to express in good faith any opinion respecting the merits of any,"performance which its author has submitted to the judgment of the public, or respecting the character of"
7,Sentence may be (in certain cases of imprisonment) wholly or partly rigorous or simple.—In,"every case in which an offender is punishable with imprisonment which may be of either description, it"
7,"—It is not defamation in a person having over another any authority, either conferred by","law or arising out of a lawful contract made with that other, to pass in good faith any censure on the"
